claim_id,family,population,source,contrast,metric,estimate,ci95_lower,ci95_upper,n,notes
C9,fixed_budget_support,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,top_k_10,global_evidence_recall,0.3223367172107227,,,3767,post_hoc_v2;frozen_rankings;no_retuning;source_clustered_bootstrap
C9,fixed_budget_support,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,top_k_10,global_feasible_rate,0.1702805355614601,,,3767,post_hoc_v2;frozen_rankings;no_retuning;source_clustered_bootstrap
C9,fixed_budget_support,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,top_k_10,global_penalized_admissibility_upper_risk,0.8460547594498226,,,3767,post_hoc_v2;frozen_rankings;no_retuning;source_clustered_bootstrap
C9,fixed_budget_support,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,top_k_10,namespace_evidence_recall,0.3894689342408979,,,3767,post_hoc_v2;frozen_rankings;no_retuning;source_clustered_bootstrap
C9,fixed_budget_support,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,top_k_10,namespace_feasible_rate,0.20207095081256057,,,3767,post_hoc_v2;frozen_rankings;no_retuning;source_clustered_bootstrap
C9,fixed_budget_support,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,top_k_10,namespace_penalized_admissibility_upper_risk,0.8074283935203224,,,3767,post_hoc_v2;frozen_rankings;no_retuning;source_clustered_bootstrap
C9,fixed_budget_support,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,top_k_10,evidence_recall_delta,0.06713221703017538,0.05415147598649556,0.08109095232893691,3767,post_hoc_v2;frozen_rankings;no_retuning;source_clustered_bootstrap
C9,fixed_budget_support,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,top_k_10,feasible_rate_delta,0.03179041525110043,0.02213625743295429,0.04224848468892474,3767,post_hoc_v2;frozen_rankings;no_retuning;source_clustered_bootstrap
C9,fixed_budget_support,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,top_k_10,penalized_admissibility_upper_risk_delta,-0.038626365929500056,-0.04921849772137167,-0.028055171738481367,3767,post_hoc_v2;frozen_rankings;no_retuning;source_clustered_bootstrap
C9,fixed_budget_support,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,top_k_10,infeasibility_risk_component_delta,-0.03179041525110043,-0.042248484688924746,-0.022136257432954293,3767,post_hoc_v2;frozen_rankings;no_retuning;source_clustered_bootstrap
C9,fixed_budget_support,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,top_k_10,admissibility_conditional_risk_component_delta,-0.006835950678399629,-0.009381262683206222,-0.004092282097607112,3767,post_hoc_v2;frozen_rankings;no_retuning;source_clustered_bootstrap
C9,fixed_budget_support,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,top_k_20,global_evidence_recall,0.4315697757162279,,,3767,post_hoc_v2;frozen_rankings;no_retuning;source_clustered_bootstrap
C9,fixed_budget_support,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,top_k_20,global_feasible_rate,0.23740430929405193,,,3767,post_hoc_v2;frozen_rankings;no_retuning;source_clustered_bootstrap
C9,fixed_budget_support,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,top_k_20,global_penalized_admissibility_upper_risk,0.7980664441257406,,,3767,post_hoc_v2;frozen_rankings;no_retuning;source_clustered_bootstrap
C9,fixed_budget_support,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,top_k_20,namespace_evidence_recall,0.5328784300057341,,,3767,post_hoc_v2;frozen_rankings;no_retuning;source_clustered_bootstrap
C9,fixed_budget_support,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,top_k_20,namespace_feasible_rate,0.31131395982110227,,,3767,post_hoc_v2;frozen_rankings;no_retuning;source_clustered_bootstrap
C9,fixed_budget_support,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,top_k_20,namespace_penalized_admissibility_upper_risk,0.7127047093519459,,,3767,post_hoc_v2;frozen_rankings;no_retuning;source_clustered_bootstrap
C9,fixed_budget_support,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,top_k_20,evidence_recall_delta,0.10130865428950661,0.08225413057659439,0.12040251537864088,3767,post_hoc_v2;frozen_rankings;no_retuning;source_clustered_bootstrap
C9,fixed_budget_support,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,top_k_20,feasible_rate_delta,0.07390965052705038,0.05579616108791878,0.09467092101238662,3767,post_hoc_v2;frozen_rankings;no_retuning;source_clustered_bootstrap
C9,fixed_budget_support,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,top_k_20,penalized_admissibility_upper_risk_delta,-0.08536173477379465,-0.10699340752686742,-0.06416454269139718,3767,post_hoc_v2;frozen_rankings;no_retuning;source_clustered_bootstrap
C9,fixed_budget_support,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,top_k_20,infeasibility_risk_component_delta,-0.07390965052705038,-0.09467092101238664,-0.05579616108791879,3767,post_hoc_v2;frozen_rankings;no_retuning;source_clustered_bootstrap
C9,fixed_budget_support,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,top_k_20,admissibility_conditional_risk_component_delta,-0.011452084246744251,-0.016138339480099545,-0.006536993998337914,3767,post_hoc_v2;frozen_rankings;no_retuning;source_clustered_bootstrap
C9,fixed_budget_support,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,top_k_50,global_evidence_recall,0.6032211289041816,,,3767,post_hoc_v2;frozen_rankings;no_retuning;source_clustered_bootstrap
C9,fixed_budget_support,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,top_k_50,global_feasible_rate,0.3990558831365097,,,3767,post_hoc_v2;frozen_rankings;no_retuning;source_clustered_bootstrap
