claim_id,family,population,source,contrast,metric,estimate,ci95_lower,ci95_upper,n,notes
C10,metadata_reliability,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,policy_only,evidence_recall_delta,0.026547423326091616,0.022348524278320656,0.030818132766988457,3767,post_hoc_v2;corrected_governance_semantics;source_clustered_bootstrap
C10,metadata_reliability,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,policy_only,feasible_rate_delta,0.057644882860665846,0.048150268589199886,0.06747297469929674,3767,post_hoc_v2;corrected_governance_semantics;source_clustered_bootstrap
C10,metadata_reliability,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,policy_only,penalized_admissibility_upper_risk_delta,-0.14672349588930514,-0.15476915257566598,-0.13876722035339698,3767,post_hoc_v2;corrected_governance_semantics;source_clustered_bootstrap
C10,metadata_reliability,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,lifecycle_only,evidence_recall_delta,-0.015782983970406887,-0.019317486951876482,-0.01234889280538859,3767,post_hoc_v2;corrected_governance_semantics;source_clustered_bootstrap
C10,metadata_reliability,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,lifecycle_only,feasible_rate_delta,-0.037916152897657214,-0.04619423147656303,-0.029823284921375485,3767,post_hoc_v2;corrected_governance_semantics;source_clustered_bootstrap
C10,metadata_reliability,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,lifecycle_only,penalized_admissibility_upper_risk_delta,0.017592488030749552,0.012126050434668908,0.023269147965288468,3767,post_hoc_v2;corrected_governance_semantics;source_clustered_bootstrap
C10,metadata_reliability,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,governance_v2,evidence_recall_delta,0.010489205957763334,0.004474272535172441,0.01651220262651765,3767,post_hoc_v2;corrected_governance_semantics;source_clustered_bootstrap
C10,metadata_reliability,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,governance_v2,feasible_rate_delta,0.016954377311960544,0.0030246360193830865,0.030466116995666825,3767,post_hoc_v2;corrected_governance_semantics;source_clustered_bootstrap
C10,metadata_reliability,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,governance_v2,penalized_admissibility_upper_risk_delta,-0.12355443791299539,-0.13476684700631683,-0.11194958955718494,3767,post_hoc_v2;corrected_governance_semantics;source_clustered_bootstrap
C10,metadata_reliability,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,namespace_false_deny,last_observed_dominating_rate,0.1,,,10,nested_corruption;ten_seed_mean;observed_grid_bracket;not_population_threshold
C10,metadata_reliability,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,namespace_false_deny,first_observed_non_dominating_rate,0.2,,,10,nested_corruption;ten_seed_mean;observed_grid_bracket;not_population_threshold
C10,metadata_reliability,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,namespace_missing,last_observed_dominating_rate,0.1,,,10,nested_corruption;ten_seed_mean;observed_grid_bracket;not_population_threshold
C10,metadata_reliability,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,namespace_missing,first_observed_non_dominating_rate,0.2,,,10,nested_corruption;ten_seed_mean;observed_grid_bracket;not_population_threshold
C10,metadata_reliability,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,lifecycle_false_current,last_observed_dominating_rate,0.5,,,10,nested_corruption;ten_seed_mean;observed_grid_bracket;not_population_threshold
C10,metadata_reliability,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,lifecycle_false_stale,last_observed_dominating_rate,0.0,,,10,nested_corruption;ten_seed_mean;observed_grid_bracket;not_population_threshold
C10,metadata_reliability,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,lifecycle_false_stale,first_observed_non_dominating_rate,0.02,,,10,nested_corruption;ten_seed_mean;observed_grid_bracket;not_population_threshold
C10,metadata_reliability,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,lifecycle_missing,last_observed_dominating_rate,0.5,,,10,nested_corruption;ten_seed_mean;observed_grid_bracket;not_population_threshold
