claim_id,family,population,source,contrast,metric,estimate,ci95_lower,ci95_upper,n,notes
C13,natural_end_to_end,"frozen 1,523-case natural sample: all 523 RHELM cases and an outcome-independent 1,000-case MemOps sample",deepseek-v4-pro,namespace_dense_minus_global_dense,answer_correct,0.05251625239005736,0.020302553796217655,0.08373816977940912,1523,natural_same_population;reader_estimates_not_pooled;shared_claude_haiku_judge;nonofficial_sample;no_general_disclosure_gain;prespecified_two_reader_execution
C13,natural_end_to_end,"frozen 1,523-case natural sample: all 523 RHELM cases and an outcome-independent 1,000-case MemOps sample",deepseek-v4-pro,namespace_dense_minus_global_dense,answer_quality,0.042591013384321225,0.02268125753147638,0.06165575463488798,1523,natural_same_population;reader_estimates_not_pooled;shared_claude_haiku_judge;nonofficial_sample;no_general_disclosure_gain;prespecified_two_reader_execution
C13,natural_end_to_end,"frozen 1,523-case natural sample: all 523 RHELM cases and an outcome-independent 1,000-case MemOps sample",deepseek-v4-pro,namespace_dense_minus_global_dense,evidence_recall,0.10402099722298097,0.08354954807258205,0.12427538066672583,1523,natural_same_population;reader_estimates_not_pooled;shared_claude_haiku_judge;nonofficial_sample;no_general_disclosure_gain;prespecified_two_reader_execution
C13,natural_end_to_end,"frozen 1,523-case natural sample: all 523 RHELM cases and an outcome-independent 1,000-case MemOps sample",deepseek-v4-pro,namespace_dense_minus_global_dense,feasible,0.07493307839388146,0.055382597514562246,0.09632997651487461,1523,natural_same_population;reader_estimates_not_pooled;shared_claude_haiku_judge;nonofficial_sample;no_general_disclosure_gain;prespecified_two_reader_execution
C13,natural_end_to_end,"frozen 1,523-case natural sample: all 523 RHELM cases and an outcome-independent 1,000-case MemOps sample",deepseek-v4-pro,namespace_dense_minus_global_dense,over_refusal,-0.04848852772466539,-0.06798477976709182,-0.03051346908446869,1523,natural_same_population;reader_estimates_not_pooled;shared_claude_haiku_judge;nonofficial_sample;no_general_disclosure_gain;prespecified_two_reader_execution
C13,natural_end_to_end,"frozen 1,523-case natural sample: all 523 RHELM cases and an outcome-independent 1,000-case MemOps sample",deepseek-v4-pro,namespace_dense_minus_global_dense,penalized_admissibility_upper_risk,-0.08474888331632655,-0.10674769062039698,-0.0628211552725268,1523,natural_same_population;reader_estimates_not_pooled;shared_claude_haiku_judge;nonofficial_sample;no_general_disclosure_gain;prespecified_two_reader_execution
C13,natural_end_to_end,"frozen 1,523-case natural sample: all 523 RHELM cases and an outcome-independent 1,000-case MemOps sample",deepseek-v4-pro,namespace_dense_minus_global_dense,protected_disclosure,-0.0063532401524777635,-0.02625,0.012622720897615708,787,natural_same_population;reader_estimates_not_pooled;shared_claude_haiku_judge;nonofficial_sample;no_general_disclosure_gain;prespecified_two_reader_execution
C13,natural_end_to_end,"frozen 1,523-case natural sample: all 523 RHELM cases and an outcome-independent 1,000-case MemOps sample",deepseek-v4-pro,namespace_dense_minus_global_dense,stale_disclosure,0.008,-0.011549566891241578,0.030828516377649325,1000,natural_same_population;reader_estimates_not_pooled;shared_claude_haiku_judge;nonofficial_sample;no_general_disclosure_gain;prespecified_two_reader_execution
C13,natural_end_to_end,"frozen 1,523-case natural sample: all 523 RHELM cases and an outcome-independent 1,000-case MemOps sample",deepseek-v4-pro,namespace_policy_gate_minus_namespace_dense,answer_correct,0.0065,-0.00891089108910891,0.022035676810073453,1523,natural_same_population;reader_estimates_not_pooled;shared_claude_haiku_judge;nonofficial_sample;no_general_disclosure_gain;prespecified_two_reader_execution
C13,natural_end_to_end,"frozen 1,523-case natural sample: all 523 RHELM cases and an outcome-independent 1,000-case MemOps sample",deepseek-v4-pro,namespace_policy_gate_minus_namespace_dense,penalized_admissibility_upper_risk,-0.019200305740011622,-0.022935897976836643,-0.015693928750944032,1523,natural_same_population;reader_estimates_not_pooled;shared_claude_haiku_judge;nonofficial_sample;no_general_disclosure_gain;prespecified_two_reader_execution
