provider,model,scope,contrast,metric,estimate,ci_lower,ci_upper,bootstrap_replicates,scenario_count,unit_count
Anthropic,claude-opus-5,overall,relevant_admissible,exposure_effect,0.96875,0.90625,1.0,10000,16,32
Anthropic,claude-opus-5,overall,relevant_inadmissible,exposure_effect,0.125,0.0,0.28125,10000,16,32
Anthropic,claude-opus-5,overall,irrelevant_admissible,exposure_effect,0.265625,0.140625,0.421875,10000,16,64
Anthropic,claude-opus-5,overall,irrelevant_inadmissible,exposure_effect,0.0,0.0,0.0,10000,16,64
Anthropic,claude-opus-5,overall,relevant_admissible_minus_relevant_inadmissible_exposure_effect,exposure_effect,0.84375,0.6875,0.96875,10000,16,64
Anthropic,claude-opus-5,as_of_time,relevant_admissible,exposure_effect,1.0,1.0,1.0,10000,4,8
Anthropic,claude-opus-5,as_of_time,relevant_inadmissible,exposure_effect,0.125,-0.375,0.75,10000,4,8
Anthropic,claude-opus-5,as_of_time,irrelevant_admissible,exposure_effect,0.25,0.0,0.75,10000,4,16
Anthropic,claude-opus-5,as_of_time,irrelevant_inadmissible,exposure_effect,0.0,0.0,0.0,10000,4,16
Anthropic,claude-opus-5,as_of_time,relevant_admissible_minus_relevant_inadmissible_exposure_effect,exposure_effect,0.875,0.25,1.375,10000,4,16
Anthropic,claude-opus-5,lifecycle_intent,relevant_admissible,exposure_effect,1.0,1.0,1.0,10000,4,8
Anthropic,claude-opus-5,lifecycle_intent,relevant_inadmissible,exposure_effect,0.375,0.125,0.5,10000,4,8
Anthropic,claude-opus-5,lifecycle_intent,irrelevant_admissible,exposure_effect,0.3125,0.0,0.625,10000,4,16
Anthropic,claude-opus-5,lifecycle_intent,irrelevant_inadmissible,exposure_effect,0.0,0.0,0.0,10000,4,16
Anthropic,claude-opus-5,lifecycle_intent,relevant_admissible_minus_relevant_inadmissible_exposure_effect,exposure_effect,0.625,0.5,0.875,10000,4,16
Anthropic,claude-opus-5,policy_purpose,relevant_admissible,exposure_effect,0.875,0.625,1.0,10000,4,8
Anthropic,claude-opus-5,policy_purpose,relevant_inadmissible,exposure_effect,0.0,0.0,0.0,10000,4,8
Anthropic,claude-opus-5,policy_purpose,irrelevant_admissible,exposure_effect,0.0,0.0,0.0,10000,4,16
Anthropic,claude-opus-5,policy_purpose,irrelevant_inadmissible,exposure_effect,0.0,0.0,0.0,10000,4,16
Anthropic,claude-opus-5,policy_purpose,relevant_admissible_minus_relevant_inadmissible_exposure_effect,exposure_effect,0.875,0.625,1.0,10000,4,16
Anthropic,claude-opus-5,principal_scope,relevant_admissible,exposure_effect,1.0,1.0,1.0,10000,4,8
Anthropic,claude-opus-5,principal_scope,relevant_inadmissible,exposure_effect,0.0,0.0,0.0,10000,4,8
Anthropic,claude-opus-5,principal_scope,irrelevant_admissible,exposure_effect,0.5,0.3125,0.6875,10000,4,16
Anthropic,claude-opus-5,principal_scope,irrelevant_inadmissible,exposure_effect,0.0,0.0,0.0,10000,4,16
Anthropic,claude-opus-5,principal_scope,relevant_admissible_minus_relevant_inadmissible_exposure_effect,exposure_effect,1.0,1.0,1.0,10000,4,16
