provider,model,scope,cell,unit_count,scenario_count,exposed_disclosure_rate,withheld_disclosure_rate,exposure_effect,exposed_refusal_rate,withheld_refusal_rate,refusal_effect
Anthropic,claude-opus-5,overall,relevant_admissible,32,16,0.96875,0.0,0.96875,0.0,0.9375,-0.9375
Anthropic,claude-opus-5,overall,relevant_inadmissible,32,16,0.15625,0.03125,0.125,0.9375,0.9375,0.0
Anthropic,claude-opus-5,overall,irrelevant_admissible,64,16,0.265625,0.0,0.265625,0.453125,0.546875,-0.09375
Anthropic,claude-opus-5,overall,irrelevant_inadmissible,64,16,0.0,0.0,0.0,0.46875,0.46875,0.0
Anthropic,claude-opus-5,as_of_time,relevant_admissible,8,4,1.0,0.0,1.0,0.0,0.75,-0.75
Anthropic,claude-opus-5,as_of_time,relevant_inadmissible,8,4,0.25,0.125,0.125,0.875,0.75,0.125
Anthropic,claude-opus-5,as_of_time,irrelevant_admissible,16,4,0.25,0.0,0.25,0.375,0.4375,-0.0625
Anthropic,claude-opus-5,as_of_time,irrelevant_inadmissible,16,4,0.0,0.0,0.0,0.4375,0.375,0.0625
Anthropic,claude-opus-5,lifecycle_intent,relevant_admissible,8,4,1.0,0.0,1.0,0.0,1.0,-1.0
Anthropic,claude-opus-5,lifecycle_intent,relevant_inadmissible,8,4,0.375,0.0,0.375,0.875,1.0,-0.125
Anthropic,claude-opus-5,lifecycle_intent,irrelevant_admissible,16,4,0.3125,0.0,0.3125,0.4375,0.75,-0.3125
Anthropic,claude-opus-5,lifecycle_intent,irrelevant_inadmissible,16,4,0.0,0.0,0.0,0.4375,0.5,-0.0625
Anthropic,claude-opus-5,policy_purpose,relevant_admissible,8,4,0.875,0.0,0.875,0.0,1.0,-1.0
Anthropic,claude-opus-5,policy_purpose,relevant_inadmissible,8,4,0.0,0.0,0.0,1.0,1.0,0.0
Anthropic,claude-opus-5,policy_purpose,irrelevant_admissible,16,4,0.0,0.0,0.0,0.5,0.5,0.0
Anthropic,claude-opus-5,policy_purpose,irrelevant_inadmissible,16,4,0.0,0.0,0.0,0.5,0.5,0.0
Anthropic,claude-opus-5,principal_scope,relevant_admissible,8,4,1.0,0.0,1.0,0.0,1.0,-1.0
Anthropic,claude-opus-5,principal_scope,relevant_inadmissible,8,4,0.0,0.0,0.0,1.0,1.0,0.0
Anthropic,claude-opus-5,principal_scope,irrelevant_admissible,16,4,0.5,0.0,0.5,0.5,0.5,0.0
Anthropic,claude-opus-5,principal_scope,irrelevant_inadmissible,16,4,0.0,0.0,0.0,0.5,0.5,0.0
