model,scope,axis,pair_count,scenario_count,strict_focal_pair_consistency,focal_direction_accuracy,mean_focal_directional_margin,focal_unknown_argmax_rate,stable_control_accuracy,stable_control_overflip_rate,candidate_accuracy,candidate_multiclass_brier,candidate_unknown_argmax_rate,candidate_mean_unknown_probability,mean_query_token_jaccard,mean_query_sequence_similarity
released_oracle,overall,all,32,16,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.7608636155511156,0.9035141754962491
released_oracle,axis,as_of_time,8,4,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8299575424575425,0.9687587376478044
released_oracle,axis,lifecycle_intent,8,4,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6582167832167832,0.8639568680125971
released_oracle,axis,policy_purpose,8,4,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6687271062271062,0.8448924173950139
released_oracle,axis,principal_scope,8,4,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8865530303030303,0.9364486789295813
no_verifier_keep_all,overall,all,32,16,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.7608636155511156,0.9035141754962491
no_verifier_keep_all,axis,as_of_time,8,4,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.8299575424575425,0.9687587376478044
no_verifier_keep_all,axis,lifecycle_intent,8,4,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.6582167832167832,0.8639568680125971
no_verifier_keep_all,axis,policy_purpose,8,4,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.6687271062271062,0.8448924173950139
no_verifier_keep_all,axis,principal_scope,8,4,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.8865530303030303,0.9364486789295813
OpenAI/gpt-5.6-sol,overall,all,32,16,1.0,1.0,0.981453125,0.0,0.7734375,0.203125,0.8489583333333334,0.28226660416666666,0.052083333333333336,0.05156770833333333,0.7608636155511156,0.9035141754962491
OpenAI/gpt-5.6-sol,axis,as_of_time,8,4,1.0,1.0,0.9805625,0.0,0.875,0.0,0.9166666666666666,0.165253375,0.0,0.006875,0.8299575424575425,0.9687587376478044
OpenAI/gpt-5.6-sol,axis,lifecycle_intent,8,4,1.0,1.0,0.97875,0.0,0.78125,0.4375,0.8541666666666666,0.28234774999999995,0.0,0.004208333333333334,0.6582167832167832,0.8639568680125971
OpenAI/gpt-5.6-sol,axis,policy_purpose,8,4,1.0,1.0,0.989625,0.0,0.59375,0.1875,0.7291666666666666,0.4967504583333333,0.14583333333333334,0.1324375,0.6687271062271062,0.8448924173950139
OpenAI/gpt-5.6-sol,axis,principal_scope,8,4,1.0,1.0,0.976875,0.0,0.84375,0.1875,0.8958333333333334,0.1847148333333333,0.0625,0.06275,0.8865530303030303,0.9364486789295813
DeepSeek/deepseek-v4-pro,overall,all,32,16,0.71875,0.875,0.70875,0.046875,0.6171875,0.265625,0.6927083333333334,0.5894052083333333,0.06770833333333333,0.07963541666666667,0.7608636155511156,0.9035141754962491
DeepSeek/deepseek-v4-pro,axis,as_of_time,8,4,0.875,0.875,0.800625,0.0625,0.5625,0.125,0.6666666666666666,0.6655875,0.14583333333333334,0.15020833333333333,0.8299575424575425,0.9687587376478044
DeepSeek/deepseek-v4-pro,axis,lifecycle_intent,8,4,0.5,0.875,0.628125,0.125,0.78125,0.4375,0.7708333333333334,0.4473958333333334,0.041666666666666664,0.05104166666666667,0.6582167832167832,0.8639568680125971
DeepSeek/deepseek-v4-pro,axis,policy_purpose,8,4,1.0,1.0,0.94375,0.0,0.625,0.4375,0.75,0.46622500000000006,0.0625,0.07562500000000001,0.6687271062271062,0.8448924173950139
DeepSeek/deepseek-v4-pro,axis,principal_scope,8,4,0.5,0.75,0.4625,0.0,0.5,0.0625,0.5833333333333334,0.7784125,0.020833333333333332,0.04166666666666668,0.8865530303030303,0.9364486789295813
Gemini/gemini-3.6-flash,overall,all,32,16,1.0,1.0,1.0,0.0,0.703125,0.296875,0.8020833333333334,0.3958333333333333,0.020833333333333332,0.020833333333333332,0.7608636155511156,0.9035141754962491
Gemini/gemini-3.6-flash,axis,as_of_time,8,4,1.0,1.0,1.0,0.0,0.84375,0.25,0.8958333333333334,0.20833333333333334,0.041666666666666664,0.041666666666666664,0.8299575424575425,0.9687587376478044
Gemini/gemini-3.6-flash,axis,lifecycle_intent,8,4,1.0,1.0,1.0,0.0,0.75,0.5,0.8333333333333334,0.3333333333333333,0.0,0.0,0.6582167832167832,0.8639568680125971
Gemini/gemini-3.6-flash,axis,policy_purpose,8,4,1.0,1.0,1.0,0.0,0.59375,0.3125,0.7291666666666666,0.5416666666666666,0.041666666666666664,0.041666666666666664,0.6687271062271062,0.8448924173950139
Gemini/gemini-3.6-flash,axis,principal_scope,8,4,1.0,1.0,1.0,0.0,0.625,0.125,0.75,0.5,0.0,0.0,0.8865530303030303,0.9364486789295813
