model,comparator,scope,axis,metric,estimate,ci_lower,ci_upper,bootstrap_replicates,bootstrap_unit,bootstrap_stratification
OpenAI/gpt-5.6-sol,no_verifier_keep_all,overall,all,strict_focal_pair_consistency,1.0,1.0,1.0,10000,scenario,axis
OpenAI/gpt-5.6-sol,no_verifier_keep_all,axis,as_of_time,strict_focal_pair_consistency,1.0,1.0,1.0,10000,scenario,axis
OpenAI/gpt-5.6-sol,no_verifier_keep_all,axis,lifecycle_intent,strict_focal_pair_consistency,1.0,1.0,1.0,10000,scenario,axis
OpenAI/gpt-5.6-sol,no_verifier_keep_all,axis,policy_purpose,strict_focal_pair_consistency,1.0,1.0,1.0,10000,scenario,axis
OpenAI/gpt-5.6-sol,no_verifier_keep_all,axis,principal_scope,strict_focal_pair_consistency,1.0,1.0,1.0,10000,scenario,axis
OpenAI/gpt-5.6-sol,no_verifier_keep_all,overall,all,focal_direction_accuracy,1.0,1.0,1.0,10000,scenario,axis
OpenAI/gpt-5.6-sol,no_verifier_keep_all,axis,as_of_time,focal_direction_accuracy,1.0,1.0,1.0,10000,scenario,axis
OpenAI/gpt-5.6-sol,no_verifier_keep_all,axis,lifecycle_intent,focal_direction_accuracy,1.0,1.0,1.0,10000,scenario,axis
OpenAI/gpt-5.6-sol,no_verifier_keep_all,axis,policy_purpose,focal_direction_accuracy,1.0,1.0,1.0,10000,scenario,axis
OpenAI/gpt-5.6-sol,no_verifier_keep_all,axis,principal_scope,focal_direction_accuracy,1.0,1.0,1.0,10000,scenario,axis
OpenAI/gpt-5.6-sol,no_verifier_keep_all,overall,all,focal_directional_margin,0.981453125,0.979671875,0.98334375,10000,scenario,axis
OpenAI/gpt-5.6-sol,no_verifier_keep_all,axis,as_of_time,focal_directional_margin,0.9805625,0.9765625,0.987625,10000,scenario,axis
OpenAI/gpt-5.6-sol,no_verifier_keep_all,axis,lifecycle_intent,focal_directional_margin,0.97875,0.9778125,0.9796875,10000,scenario,axis
OpenAI/gpt-5.6-sol,no_verifier_keep_all,axis,policy_purpose,focal_directional_margin,0.989625,0.9844374999999999,0.9924999999999999,10000,scenario,axis
OpenAI/gpt-5.6-sol,no_verifier_keep_all,axis,principal_scope,focal_directional_margin,0.976875,0.975625,0.9775,10000,scenario,axis
OpenAI/gpt-5.6-sol,no_verifier_keep_all,overall,all,stable_control_accuracy,0.2734375,0.171875,0.359375,10000,scenario,axis
OpenAI/gpt-5.6-sol,no_verifier_keep_all,axis,as_of_time,stable_control_accuracy,0.375,0.125,0.5,10000,scenario,axis
OpenAI/gpt-5.6-sol,no_verifier_keep_all,axis,lifecycle_intent,stable_control_accuracy,0.28125,0.25,0.34375,10000,scenario,axis
