group_type,group_value,n,exact_agreement,within_one_agreement,mean_absolute_error,mean_strong_minus_cheap,quadratic_weighted_kappa
overall,all,200,0.24,0.755,1.245,0.215,0.8837257200205212
reader_panel,original_two_reader,134,0.291044776119403,0.7835820895522388,1.126865671641791,0.15671641791044777,0.8966679194909214
reader_panel,sequential_gpt_reader,66,0.13636363636363635,0.696969696969697,1.4848484848484849,0.3333333333333333,0.8585094115927436
reader,DeepSeek,67,0.26865671641791045,0.7761194029850746,1.0746268656716418,-0.14925373134328357,0.9204475140893356
reader,Gemini,67,0.31343283582089554,0.7910447761194029,1.1791044776119404,0.4626865671641791,0.8625752473263946
reader,OpenAI,66,0.13636363636363635,0.696969696969697,1.4848484848484849,0.3333333333333333,0.8585094115927436
source,memops,100,0.18,0.79,1.14,0.46,0.9123132440727125
source,rhelm,100,0.3,0.72,1.35,-0.03,0.8312936063136223
route,global_dense,67,0.23880597014925373,0.7313432835820896,1.1940298507462686,0.11940298507462686,0.9000315966858587
route,namespace_dense,67,0.23880597014925373,0.7164179104477612,1.4029850746268657,0.208955223880597,0.8362559537613501
route,namespace_policy_gate,66,0.24242424242424243,0.8181818181818182,1.1363636363636365,0.3181818181818182,0.8971310825804406
stratum,DeepSeek/memops/global_dense,11,0.18181818181818182,0.6363636363636364,1.2727272727272727,-0.5454545454545454,0.8915022761760243
stratum,DeepSeek/memops/namespace_dense,11,0.2727272727272727,0.9090909090909091,0.8181818181818182,0.2727272727272727,0.9409468033186921
stratum,DeepSeek/memops/namespace_policy_gate,11,0.18181818181818182,0.8181818181818182,1.0909090909090908,0.18181818181818182,0.9313786650031192
stratum,DeepSeek/rhelm/global_dense,12,0.3333333333333333,0.75,1.0833333333333333,-0.25,0.5972222222222223
stratum,DeepSeek/rhelm/namespace_dense,11,0.36363636363636365,0.7272727272727273,1.2727272727272727,-0.5454545454545454,0.8073394495412844
stratum,DeepSeek/rhelm/namespace_policy_gate,11,0.2727272727272727,0.8181818181818182,0.9090909090909091,0.0,0.9506726457399103
stratum,Gemini/memops/global_dense,11,0.18181818181818182,0.5454545454545454,1.6363636363636365,1.0909090909090908,0.8031319910514542
stratum,Gemini/memops/namespace_dense,12,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.9622641509433962
stratum,Gemini/memops/namespace_policy_gate,11,0.2727272727272727,0.8181818181818182,0.9090909090909091,0.9090909090909091,0.8796875
stratum,Gemini/rhelm/global_dense,11,0.2727272727272727,0.9090909090909091,1.0,0.09090909090909091,0.9152428810720268
stratum,Gemini/rhelm/namespace_dense,11,0.36363636363636365,0.6363636363636364,1.9090909090909092,0.09090909090909091,0.5615763546798029
stratum,Gemini/rhelm/namespace_policy_gate,11,0.45454545454545453,0.8181818181818182,1.0,-0.09090909090909091,0.8653061224489795
stratum,OpenAI/memops/global_dense,11,0.09090909090909091,0.7272727272727273,1.3636363636363635,0.6363636363636364,0.9070591441809758
stratum,OpenAI/memops/namespace_dense,11,0.0,0.7272727272727273,1.5454545454545454,0.6363636363636364,0.832441333882256
stratum,OpenAI/memops/namespace_policy_gate,11,0.09090909090909091,0.9090909090909091,1.0,0.2727272727272727,0.9477911646586346
stratum,OpenAI/rhelm/global_dense,11,0.36363636363636365,0.8181818181818182,0.8181818181818182,-0.2727272727272727,0.9608111811455193
stratum,OpenAI/rhelm/namespace_dense,11,0.09090909090909091,0.2727272727272727,2.272727272727273,0.09090909090909091,0.7126988892224557
stratum,OpenAI/rhelm/namespace_policy_gate,11,0.18181818181818182,0.7272727272727273,1.9090909090909092,0.6363636363636364,0.7113499841922226
