reader,source,route,selected_unique_payloads
DeepSeek,memops,global_dense,11
DeepSeek,memops,namespace_dense,11
DeepSeek,memops,namespace_policy_gate,11
DeepSeek,rhelm,global_dense,12
DeepSeek,rhelm,namespace_dense,11
DeepSeek,rhelm,namespace_policy_gate,11
Gemini,memops,global_dense,11
Gemini,memops,namespace_dense,12
Gemini,memops,namespace_policy_gate,11
Gemini,rhelm,global_dense,11
Gemini,rhelm,namespace_dense,11
Gemini,rhelm,namespace_policy_gate,11
OpenAI,memops,global_dense,11
OpenAI,memops,namespace_dense,11
OpenAI,memops,namespace_policy_gate,11
OpenAI,rhelm,global_dense,11
OpenAI,rhelm,namespace_dense,11
OpenAI,rhelm,namespace_policy_gate,11
