reader_provider,reader_model,arm,reference,metric,mean_delta_arm_minus_reference,bootstrap_ci95_lower,bootstrap_ci95_upper,paired_query_count,namespace_group_count,bootstrap_replicates
DeepSeek,deepseek-v4-pro,namespace_dense,global_dense,evidence_recall,0.10130865428950672,0.08146259770589731,0.11998809016106282,3767,87,10000
DeepSeek,deepseek-v4-pro,namespace_dense,global_dense,feasible,0.07390965052705038,0.05541760002112425,0.09415780506588178,3767,87,10000
DeepSeek,deepseek-v4-pro,namespace_dense,global_dense,penalized_admissibility_upper_risk,-0.084415414314897,-0.10619267524196638,-0.06274787669298812,3767,87,10000
DeepSeek,deepseek-v4-pro,namespace_dense,global_dense,route_width,0.0,0.0,0.0,3767,87,10000
DeepSeek,deepseek-v4-pro,namespace_dense,global_dense,wrong_namespace_exposure,-0.3165815165753867,-0.3520166119347986,-0.27808766105645694,3767,87,10000
DeepSeek,deepseek-v4-pro,namespace_dense,global_dense,policy_disallowed_exposure,0.006581381011097411,0.0033634245777518926,0.009970139349701394,3767,87,10000
DeepSeek,deepseek-v4-pro,namespace_dense,global_dense,lifecycle_incompatible_exposure,0.0011097410604192356,0.0003639973527465256,0.0018618714194780397,3767,87,10000
DeepSeek,deepseek-v4-pro,namespace_dense,global_dense,unresolved_exposure,0.002358199753390876,0.0017926356589147289,0.0029812348668280877,3767,87,10000
DeepSeek,deepseek-v4-pro,namespace_dense,global_dense,contains_reference_answer,0.01523388965774143,0.005029050933182854,0.025460177624982094,3767,87,10000
DeepSeek,deepseek-v4-pro,namespace_dense,global_dense,over_refusal,-0.04942379282947427,-0.06710569191734925,-0.032862463771587344,3767,87,10000
DeepSeek,deepseek-v4-pro,namespace_dense,global_dense,literal_protected_disclosure,0.008634222919937205,0.001448225923244026,0.016504126031507877,2548,80,10000
DeepSeek,deepseek-v4-pro,namespace_policy_gate,global_dense,evidence_recall,0.10130865428950672,0.0825057393591746,0.1202260252166075,3767,87,10000
DeepSeek,deepseek-v4-pro,namespace_policy_gate,global_dense,feasible,0.07390965052705038,0.055770322440096276,0.09426756633753487,3767,87,10000
DeepSeek,deepseek-v4-pro,namespace_policy_gate,global_dense,penalized_admissibility_upper_risk,-0.10154492360441447,-0.12350324865480734,-0.07971338730160911,3767,87,10000
DeepSeek,deepseek-v4-pro,namespace_policy_gate,global_dense,route_width,-2.1300863131935883,-2.2355094569859673,-2.0281037677578753,3767,87,10000
DeepSeek,deepseek-v4-pro,namespace_policy_gate,global_dense,wrong_namespace_exposure,-0.3165815165753867,-0.3517040608909209,-0.27729653179057995,3767,87,10000
DeepSeek,deepseek-v4-pro,namespace_policy_gate,global_dense,policy_disallowed_exposure,-0.09992293464858198,-0.10516883886255925,-0.09464177292046144,3767,87,10000
DeepSeek,deepseek-v4-pro,namespace_policy_gate,global_dense,lifecycle_incompatible_exposure,0.006541031174314625,0.005250616558244823,0.00793046540764344,3767,87,10000
DeepSeek,deepseek-v4-pro,namespace_policy_gate,global_dense,unresolved_exposure,0.006048867121571481,0.005075752265676172,0.007067859262414876,3767,87,10000
DeepSeek,deepseek-v4-pro,namespace_policy_gate,global_dense,contains_reference_answer,0.014925628252069419,0.004460440033754088,0.025413520316432937,3767,87,10000
DeepSeek,deepseek-v4-pro,namespace_policy_gate,global_dense,over_refusal,-0.04849900861245824,-0.06713075804233495,-0.030593409678438162,3767,87,10000
DeepSeek,deepseek-v4-pro,namespace_policy_gate,global_dense,literal_protected_disclosure,0.01098901098901099,0.0,0.022004889975550123,2548,80,10000
DeepSeek,deepseek-v4-pro,namespace_text_verifier,global_dense,evidence_recall,0.08180426509859667,0.062242300062885565,0.10108167355816565,3767,87,10000
DeepSeek,deepseek-v4-pro,namespace_text_verifier,global_dense,feasible,0.06139382486979934,0.042132775146981445,0.08265077208769021,3767,87,10000
DeepSeek,deepseek-v4-pro,namespace_text_verifier,global_dense,penalized_admissibility_upper_risk,-0.07694189940326393,-0.09882376117002954,-0.0554022443515452,3767,87,10000
