reader_provider,reader_model,arm,source,query_count,protected_disclosure_coverage,evidence_recall,feasible,penalized_admissibility_upper_risk,route_width,wrong_namespace_exposure,policy_disallowed_exposure,lifecycle_incompatible_exposure,unresolved_exposure,answer_correct,answer_quality,over_refusal,contains_reference_answer,protected_disclosure,literal_protected_disclosure,stale_disclosure
DeepSeek,deepseek-v4-pro,global_dense,memops,1000,0.787,0.38213214285714286,0.139,0.9060751304423131,20.0,0.2703,0.20345,0.0303,0.013850000000000001,0.48,0.554,0.211,0.077,0.10546378653113088,0.03811944091486658,0.075
DeepSeek,deepseek-v4-pro,global_dense,rhelm,523,0.0,0.4821587908585997,0.3422562141491396,0.6889456423436676,20.0,0.36491395793499043,0.0,0.0,0.0,0.2638623326959847,0.3745697896749522,0.8202676864244742,0.0994263862332696,,,
DeepSeek,deepseek-v4-pro,namespace_dense,memops,1000,0.787,0.48802460317460317,0.199,0.85764537709023,20.0,0.0,0.2161,0.0323,0.0188,0.564,0.6214,0.158,0.082,0.09911054637865312,0.052096569250317665,0.083
DeepSeek,deepseek-v4-pro,namespace_dense,rhelm,523,0.0,0.5843083249871013,0.4321223709369025,0.5678776290630975,20.0,0.0,0.0,0.0,0.0,0.28489483747609945,0.3923518164435947,0.7762906309751434,0.12619502868068833,,,
DeepSeek,deepseek-v4-pro,namespace_policy_gate,memops,1000,0.787,0.48802460317460317,0.199,0.8192447656102068,15.678,0.0,0.0,0.04298756549178376,0.026343299193066994,0.577,0.6271,0.168,0.08,0.10546378653113088,0.053367217280813214,0.073
DeepSeek,deepseek-v4-pro,namespace_policy_gate,rhelm,523,0.0,0.5843083249871013,0.4321223709369025,0.5678776290630975,20.0,0.0,0.0,0.0,0.0,0.28489483747609945,0.3923518164435947,0.7762906309751434,0.12619502868068833,,,
DeepSeek,deepseek-v4-pro,namespace_text_verifier,memops,1000,0.787,0.45562103174603175,0.176,0.8692415013091483,17.648,0.0,0.21583223045873975,0.02242084397370775,0.018457832449628113,0.58,0.6305,0.15,0.083,0.096569250317662,0.03303684879288437,0.078
DeepSeek,deepseek-v4-pro,namespace_text_verifier,rhelm,523,0.0,0.5811671067407205,0.43021032504780116,0.5697896749521989,19.81453154875717,0.0,0.0,0.0,0.0,0.2887189292543021,0.39330783938814534,0.7743785850860421,0.124282982791587,,,
DeepSeek,deepseek-v4-pro,released_field_oracle,memops,1000,0.787,0.4673650793650793,0.181,0.8260874032829916,15.032,0.0,0.0,0.0,0.028164488229348913,0.574,0.6247,0.171,0.084,0.10038119440914867,0.04955527318932656,0.08
DeepSeek,deepseek-v4-pro,released_field_oracle,rhelm,523,0.0,0.5843083249871013,0.4321223709369025,0.5678776290630975,20.0,0.0,0.0,0.0,0.0,0.28489483747609945,0.3923518164435947,0.7762906309751434,0.12619502868068833,,,
Gemini,gemini-3.6-flash,global_dense,memops,1000,0.787,0.38213214285714286,0.139,0.9060751304423131,20.0,0.2703,0.20345,0.0303,0.013850000000000001,0.55,0.6083000000000001,0.128,0.088,0.10038119440914867,0.036848792884371026,0.068
Gemini,gemini-3.6-flash,global_dense,rhelm,523,0.0,0.4821587908585997,0.3422562141491396,0.6889456423436676,20.0,0.36491395793499043,0.0,0.0,0.0,0.3632887189292543,0.44416826003824095,0.5697896749521989,0.15487571701720843,,,
Gemini,gemini-3.6-flash,namespace_dense,memops,1000,0.787,0.48802460317460317,0.199,0.85764537709023,20.0,0.0,0.2161,0.0323,0.0188,0.626,0.6657000000000001,0.089,0.092,0.11308767471410419,0.04701397712833545,0.068
Gemini,gemini-3.6-flash,namespace_dense,rhelm,523,0.0,0.5843083249871013,0.4321223709369025,0.5678776290630975,20.0,0.0,0.0,0.0,0.0,0.4225621414913958,0.48661567877629064,0.5277246653919694,0.18164435946462715,,,
Gemini,gemini-3.6-flash,namespace_policy_gate,memops,1000,0.787,0.48802460317460317,0.199,0.8192447656102068,15.678,0.0,0.0,0.04298756549178376,0.026343299193066994,0.617,0.6615,0.105,0.092,0.12325285895806862,0.048284625158831,0.088
Gemini,gemini-3.6-flash,namespace_policy_gate,rhelm,523,0.0,0.5843083249871013,0.4321223709369025,0.5678776290630975,20.0,0.0,0.0,0.0,0.0,0.4225621414913958,0.48661567877629064,0.5277246653919694,0.18164435946462715,,,
Gemini,gemini-3.6-flash,namespace_text_verifier,memops,1000,0.787,0.45562103174603175,0.176,0.8692415013091483,17.648,0.0,0.21583223045873975,0.02242084397370775,0.018457832449628113,0.602,0.6505,0.108,0.082,0.11435832274459974,0.036848792884371026,0.077
Gemini,gemini-3.6-flash,namespace_text_verifier,rhelm,523,0.0,0.5811671067407205,0.43021032504780116,0.5697896749521989,19.81453154875717,0.0,0.0,0.0,0.0,0.4168260038240918,0.48260038240917785,0.5258126195028681,0.18164435946462715,,,
Gemini,gemini-3.6-flash,released_field_oracle,memops,1000,0.787,0.4673650793650793,0.181,0.8260874032829916,15.032,0.0,0.0,0.0,0.028164488229348913,0.613,0.66,0.106,0.091,0.11308767471410419,0.045743329097839895,0.092
Gemini,gemini-3.6-flash,released_field_oracle,rhelm,523,0.0,0.5843083249871013,0.4321223709369025,0.5678776290630975,20.0,0.0,0.0,0.0,0.0,0.4225621414913958,0.48661567877629064,0.5277246653919694,0.18164435946462715,,,
DeepSeek,deepseek-v4-pro,global_dense,equal_source_macro,1523,0.5167432698621143,0.43214546685787125,0.2406281070745698,0.7975103863929904,20.0,0.31760697896749523,0.101725,0.01515,0.006925000000000001,0.37193116634799234,0.46428489483747615,0.5156338432122372,0.08821319311663481,,,
DeepSeek,deepseek-v4-pro,namespace_dense,equal_source_macro,1523,0.5167432698621143,0.5361664640808522,0.31556118546845124,0.7127615030766637,20.0,0.0,0.10805,0.01615,0.0094,0.4244474187380497,0.5068759082217973,0.4671453154875717,0.10409751434034417,,,
DeepSeek,deepseek-v4-pro,namespace_policy_gate,equal_source_macro,1523,0.5167432698621143,0.5361664640808522,0.31556118546845124,0.6935611973366521,17.839,0.0,0.0,0.02149378274589188,0.013171649596533497,0.4309474187380497,0.5097259082217973,0.4721453154875717,0.10309751434034417,,,
DeepSeek,deepseek-v4-pro,namespace_text_verifier,equal_source_macro,1523,0.5167432698621143,0.5183940692433762,0.3031051625239006,0.7195155881306736,18.731265774378585,0.0,0.10791611522936988,0.011210421986853875,0.009228916224814056,0.434359464627151,0.5119039196940727,0.46218929254302105,0.10364149139579351,,,
DeepSeek,deepseek-v4-pro,released_field_oracle,equal_source_macro,1523,0.5167432698621143,0.5258367021760904,0.30656118546845124,0.6969825161730445,17.516,0.0,0.0,0.0,0.014082244114674456,0.4294474187380497,0.5085259082217973,0.4736453154875717,0.10509751434034417,,,
Gemini,gemini-3.6-flash,global_dense,equal_source_macro,1523,0.5167432698621143,0.43214546685787125,0.2406281070745698,0.7975103863929904,20.0,0.31760697896749523,0.101725,0.01515,0.006925000000000001,0.45664435946462717,0.5262341300191204,0.34889483747609945,0.12143785850860421,,,
Gemini,gemini-3.6-flash,namespace_dense,equal_source_macro,1523,0.5167432698621143,0.5361664640808522,0.31556118546845124,0.7127615030766637,20.0,0.0,0.10805,0.01615,0.0094,0.524281070745698,0.5761578393881454,0.3083623326959847,0.1368221797323136,,,
Gemini,gemini-3.6-flash,namespace_policy_gate,equal_source_macro,1523,0.5167432698621143,0.5361664640808522,0.31556118546845124,0.6935611973366521,17.839,0.0,0.0,0.02149378274589188,0.013171649596533497,0.5197810707456979,0.5740578393881453,0.3163623326959847,0.1368221797323136,,,
Gemini,gemini-3.6-flash,namespace_text_verifier,equal_source_macro,1523,0.5167432698621143,0.5183940692433762,0.3031051625239006,0.7195155881306736,18.731265774378585,0.0,0.10791611522936988,0.011210421986853875,0.009228916224814056,0.5094130019120459,0.5665501912045889,0.316906309751434,0.13182217973231358,,,
Gemini,gemini-3.6-flash,released_field_oracle,equal_source_macro,1523,0.5167432698621143,0.5258367021760904,0.30656118546845124,0.6969825161730445,17.516,0.0,0.0,0.0,0.014082244114674456,0.5177810707456979,0.5733078393881453,0.3168623326959847,0.1363221797323136,,,
